Year,Day,Hour,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,D_kPa,RH_Perc
2023,206,08,166.3019693654267,0.25,0.9867666,34.84526,4.041223231782918,27.56066
2023,206,09,248.90590809628006,0.25,0.7229334,36.52399,4.620729148166899,24.48265
2023,206,10,321.1159737417943,0.25,1.372333,38.33313,5.3531345449389836,20.70389
2023,206,11,369.8030634573304,0.25,0.8040333,40.47663,6.2285971032494,17.74247
2023,206,12,398.24945295404814,6.57,2.273667,41.66925,6.7744725515131226,16.00476
2023,206,13,391.1378555798687,0.0,2.457667,42.85283,7.311346361599344,14.80564
2023,206,14,365.9737417943107,0.0,1.273667,43.44913,7.633427671250129,13.77475
2023,206,15,315.09846827133475,0.0,3.204333,44.42491,8.165780818435053,12.31039
2023,206,16,246.1706783369803,0.25,2.039,44.4362,8.183638523222436,12.16985
2023,206,17,169.58424507658643,0.25,1.873667,44.84504,8.465246572610893,11.04295
2023,206,18,88.62144420131291,6.57,2.129667,44.31581,8.170713459192287,11.76141
2023,206,19,25.71115973741794,0.25,2.004333,43.58532,7.888207833708243,11.52545
2023,206,20,0.0,0.25,1.980333,42.36499,7.273721861319101,13.05256
2023,206,21,0.0,0.0,1.817667,41.53223,6.920745376614222,13.56916
2023,206,22,0.0,0.0,2.263,40.69918,6.581465576605623,14.10342
2023,206,23,0.0,0.0,2.423,39.80951,6.181195378975802,15.41527
2023,207,00,0.0,6.57,2.444333,38.78339,5.777079187108261,16.47544
2023,207,01,0.0,0.0,2.513667,37.69836,5.3652682694534,17.74728
2023,207,02,0.0,0.0,1.481667,36.6044,4.964987532621406,19.21238
2023,207,03,0.0,0.25,1.777667,36.71379,5.024966284799888,18.72372
2023,207,04,0.0,0.25,0.0,33.87327,3.982852533604326,24.64421
2023,207,05,0.0,0.0,0.389,33.11979,3.735009205250875,26.29158
2023,207,06,7.658643326039387,6.57,0.4021667,32.78991,3.659260622832697,26.43619
2023,207,07,77.13347921225382,0.0,1.345667,34.28344,4.109487452829757,24.00425
2023,207,08,160.28446389496716,0.0,1.633667,35.60695,4.4545543057185,23.44063
2023,207,09,242.88840262582056,0.0,1.828333,36.98588,4.940305356568529,21.2707
2023,207,10,315.6455142231947,0.25,0.9480333,38.61115,5.549983062185475,19.01128
2023,207,11,364.87964989059077,0.25,1.836333,40.85836,6.49899437410622,15.8927
2023,207,12,390.0437636761488,6.32,2.012333,42.7177,7.3161257456790265,14.14577
2023,207,13,392.77899343544857,0.0,2.927,43.1221,7.4632106288233615,14.24954
2023,207,14,363.78555798687086,0.0,3.337667,44.23066,7.939874709784972,13.87598
2023,207,15,315.6455142231947,0.25,3.225667,44.23517,8.002652804054748,13.21527
2023,207,16,246.71772428884026,0.25,3.076333,44.92183,8.315951363519893,12.95659
2023,207,17,167.3960612691466,0.0,2.961667,44.80225,8.341548950134618,12.14944
2023,207,18,86.43326039387308,6.32,3.444333,44.08777,7.992777039327773,12.65871
2023,207,19,20.787746170678336,0.25,2.596333,43.13803,7.585865378965218,12.91262
2023,207,20,0.0,0.25,2.300333,41.8431,6.868311924634345,15.61721
2023,207,21,0.0,0.0,1.879,41.23882,6.539500739661587,17.05548
2023,207,22,0.0,0.25,3.913666,37.55269,4.843212951008914,25.16152
2023,207,23,0.0,0.0,1.4343,25.53395,0.9687934756249876,70.38052
2023,208,00,0.0,6.32,2.092333,29.28571,2.0287460385883778,50.20412
2023,208,01,0.0,0.0,1.0947,29.23123,2.0216490964082627,50.22201
2023,208,02,0.0,0.0,0.0,30.47169,2.5185141945031604,42.25499
2023,208,03,0.0,0.0,1.876333,31.71215,2.9313856896990282,37.3722
2023,208,04,0.0,0.25,1.601667,29.88873,2.224816643297528,47.25528
2023,208,05,0.0,0.0,0.4457667,29.55659,2.1883207761062673,47.11971
2023,208,06,4.9234135667396055,6.57,0.0,28.95782,1.8895991410530255,52.73232
2023,208,07,53.61050328227571,0.0,1.182533,30.53947,2.2998671040654095,47.47219
2023,208,08,160.83150984682712,0.25,1.601667,32.57528,2.98826284009486,39.19562
2023,208,09,166.84901531728664,0.0,2.044333,33.682,3.5225873913329004,32.63711
2023,208,10,321.1159737417943,0.25,1.1041,36.06108,4.2412616878389064,28.90379
2023,208,11,365.9737417943107,0.0,1.225667,38.1027,5.025999566596345,24.61715
2023,208,12,391.68490153172866,6.32,1.919,39.18689,5.65507824255951,19.99256
2023,208,13,395.51422319474835,0.0,1.6812,40.85384,6.34904948687207,17.81354
2023,208,14,190.37199124726476,0.0,1.098767,40.83811,6.424262690416292,16.77057
2023,208,15,234.13566739606125,0.25,2.556333,41.96547,6.929253375593947,15.41465
2023,208,16,236.32385120350108,0.0,2.191,42.8513,7.3855306930642355,13.93434
