year,julian-day,standard-time,leaftemp,GW,leaf-air-temp-diff
2023,213,21,34.4132895279029,1e-05,-2.1382204720971
2023,213,22,24.9012573339859,1e-05,-10.5115126660141
2023,213,23,32.3437115419959,1e-05,-2.01417845800415
2023,214,0,33.7080100129681,1e-05,-1.21284998703189
2023,214,1,33.2137255151647,1e-05,-1.14171448483533
2023,214,2,32.8944673422902,1e-05,-0.945962657709799
2023,214,3,32.24909029109,1e-05,-1.09305970891
2023,214,4,31.9870970446178,1e-05,-1.00524295538218
2023,214,5,31.5249115148091,1e-05,-1.04342848519093
2023,214,6,21.9017209521871,1e-05,-9.96630904781295
2023,214,7,29.6243490384932,0.128608425513296,-2.98028096150684
2023,214,8,31.3731477778669,0.262721203915752,-3.00666222213313
2023,214,9,32.1562559839586,0.321025216631919,-2.90272401604145
2023,214,10,33.2174650094962,0.355622615468117,-2.56588499050382
2023,214,11,33.3442352509611,0.348297329784829,-3.67214474903894
2023,214,12,34.838349884711,0.367508010450842,-3.23966011528899
2023,214,13,36.0223933917035,0.310059789285063,-3.65021660829654
2023,214,14,37.2858084071481,0.330528507143038,-2.70163159285192
2023,214,15,37.5594518401656,0.297534408809832,-3.12949815983444
2023,214,16,37.7366954832997,0.26301325473038,-3.24415451670034
2023,214,17,37.5155492893086,0.220377202327498,-3.32266071069137
2023,214,18,37.6376618565048,0.12684469257671,-2.28905814349523
2023,214,19,37.5672173756608,0.0510107340838403,-1.31330262433917
2023,214,20,36.8714185753996,1e-05,-1.20273142460045
2023,214,21,32.9034436602574,1e-05,-4.34239633974261
2023,214,22,32.0685006462985,1e-05,-3.59133935370147
2023,214,23,32.9375063010093,1e-05,-2.39259369899066
2023,215,0,33.5627840541497,1e-05,-1.17858594585031
2023,215,1,32.6520246437113,1e-05,-1.18852535628865
2023,215,2,32.1731019446768,1e-05,-1.01899805532322
2023,215,3,31.7208329059106,1e-05,-1.1391170940894
2023,215,4,30.4980119803623,1e-05,-1.83308801963768
2023,215,5,29.9080908920777,1e-05,-1.07195910792232
2023,215,6,29.3595870638192,1e-05,-1.21148293618084
2023,215,7,26.7802366826817,0.133004768392984,-5.58036331731831
2023,215,8,29.266745953859,0.236006599269242,-3.68037404614102
2023,215,9,30.943584881736,0.305666949206774,-4.00296511826403
2023,215,10,32.7838799913734,0.35565587410754,-3.57703000862656
2023,215,11,35.1264075349102,0.352092378415913,-3.17280246508975
2023,215,12,35.8296497011949,0.348957611302444,-3.1923502988051
2023,215,13,37.2503699869629,0.329572304918001,-3.08069001303709
2023,215,14,36.9851435830651,0.296197195874086,-3.39212641693493
2023,215,15,37.9133837352271,0.294864319884674,-3.1979562647729
2023,215,16,37.8652721086805,0.263220502163765,-3.75883789131952
2023,215,17,38.0044068034529,0.211175708257679,-3.26519319654708
2023,215,18,38.1504981202203,0.120804270232485,-2.88636187977966
2023,215,19,38.439715958227,0.0485727474341949,-1.44286404177304
2023,215,20,37.2252761319797,1e-05,-1.31403386802033
2023,215,21,35.0033237785612,1e-05,-2.42359622143877
2023,215,22,35.317758991504,1e-05,-1.33992100849596
2023,215,23,32.9627964735629,1e-05,-2.4162235264371
2023,216,0,32.6720674246684,1e-05,-1.48709257533161
