year,julian-day,standard-time,Solar_Wm2,Rain_mm,Wind_ms.1,Tair_C,Tsoil_C,D_kPa,GW,E-MD,P-PD,P-MD,leaftemp
2023,213,4,0.0,0.0,1.1521,27.47104,30.640000000000043,1.6992953408132037,,,,,0.2743223975139099
2023,213,5,0.0,0.0,0.7427,27.08014,29.90000000000003,1.5940998241473594,,,,,0.29706901555025955
2023,213,6,7.11159737417943,6.32,0.2327667,26.93101,29.30000000000001,1.5163154321761074,,,,,0.5245500717546193
2023,213,7,79.32166301969364,0.0,0.8556333,28.82222,29.620000000000005,1.920980555503493,,,,,1.6156921461439075
2023,213,8,169.03719912472647,0.0,2.097667,30.61852,30.680000000000007,2.47833101986375,,,,,1.4990913914768498
2023,213,9,253.82932166301967,0.0,1.588333,32.08973,32.08000000000004,3.135790821501097,,,,,2.2575619838912746
2023,213,10,325.49234135667393,0.0,0.6329,33.2535,33.710000000000036,3.615721952431769,,,,,2.8950853950176394
2023,213,11,375.2735229759299,0.0,1.4492,35.09339,35.51000000000005,4.109033755683899,,,,,2.6643922592424545
2023,213,12,399.890590809628,6.32,1.761667,36.66388,37.26000000000005,4.674766086348286,,,,,2.9168466611127237
2023,213,13,397.1553610503282,0.0,1.0583,37.60126,38.870000000000005,4.966072272205151,,,,,2.925636682843582
2023,213,14,335.33916849015316,0.0,1.051867,38.33983,40.25,5.280410184435952,,,,,3.3212690011165584
2023,213,15,291.57549234135666,0.0,1.595867,39.04459,41.24000000000001,5.66024331846614,,,,,2.9782074213265344
2023,213,16,264.7702407002188,0.0,2.775,39.51457,41.74000000000001,5.773672209543634,,,,,2.557153908373742
2023,213,17,176.1487964989059,0.0,2.556333,39.35632,41.75,5.883860322851428,,,,,2.896223594806021
2023,213,18,86.43326039387308,6.32,1.631,39.17884,41.35000000000002,5.708154548056292,,,,,3.3498971791849232
2023,213,19,15.86433260393873,0.0,1.831,38.06131,40.59000000000003,5.306003054813093,,,,,2.4904088240911593
2023,213,20,0.0,0.0,1.447,37.07278,38.900000000000034,4.987111484253894,,,,,1.1813457486179795
2023,213,21,0.0,0.0,0.6680333,36.55151,37.23000000000002,4.760313435098364,,,,,0.7367515034105945
2023,213,22,0.0,0.0,0.0,35.41277,35.76000000000005,4.32822380281821,,,,,0.8935323161475489
2023,213,23,0.0,0.0,0.6898333,34.35789,34.379999999999995,3.9817205890391696,,,,,0.7085568274865309
2023,214,0,0.0,6.32,1.476333,34.92086,33.110000000000014,4.166901919118636,,,,,0.2949058230087055
2023,214,1,0.0,0.0,1.671,34.35544,31.99000000000001,3.9863780058132305,,,,,0.3394480814498749
2023,214,2,0.0,0.0,2.505666,33.84043,30.920000000000016,3.7746216558322305,,,,,0.29966648127543083
2023,214,3,0.0,0.0,1.679,33.34215,29.920000000000016,3.57516793621995,,,,,0.33967304540952076
2023,214,4,0.0,0.0,2.063,32.99234,29.05000000000001,3.5048587093027774,,,,,0.4553142992605328
2023,214,5,0.0,0.0,1.857667,32.56834,28.370000000000005,3.393473403899952,,,,,0.640594342084841
2023,214,6,6.017505470459518,6.32,0.0,31.86803,27.890000000000043,3.188278073259485,,,,,1.1229091681877035
2023,214,7,68.38074398249452,0.0,0.6899999,32.60463,28.370000000000005,3.3756088330203893,,,,,2.2494832739987194
2023,214,8,160.28446389496716,0.0,1.051867,34.37981,29.760000000000048,3.9479960258793088,,,,,3.96750901420246
2023,214,9,232.49452954048135,0.0,1.193667,35.05898,31.410000000000025,4.084531296509702,,,,,4.004484985613007
2023,214,10,310.17505470459514,0.0,1.683867,35.78335,33.25,4.315099518514103,,,,,3.949231289476193
2023,214,11,302.5164113785558,0.0,0.7974333,37.01638,35.200000000000045,4.713824271932098,,,,,3.857320961496466
2023,214,12,398.7964989059081,6.32,0.9191666,38.07801,37.09000000000003,5.131879505860506,,,,,4.212279667828336
2023,214,13,283.91684901531727,0.0,1.385367,39.67261,38.80000000000001,5.818171192963584,,,,,3.944743689744343
2023,214,14,384.5733041575492,0.0,3.020333,39.98744,40.30000000000001,5.96527124772314,,,,,3.1296023886607576
2023,214,15,305.2516411378556,0.0,2.951,40.68895,41.410000000000025,6.406346771331884,,,,,3.2030627703982173
2023,214,16,235.77680525164112,0.0,3.041667,40.98085,42.02000000000004,6.591747077405982,,,,,3.222743827513719
2023,214,17,168.4901531728665,0.0,2.521667,40.83821,42.120000000000005,6.535877111564166,,,,,3.413798389542716
2023,214,18,85.88621444201313,6.32,3.236333,39.92672,41.77000000000004,6.148316413937669,,,,,3.001877653143854
2023,214,19,14.22319474835886,0.0,2.663,38.88052,41.02000000000004,5.746259400829359,,,,,2.480418871436391
2023,214,20,0.0,0.0,1.921667,38.07415,39.30000000000001,5.454395776282341,,,,,0.8754966844280121
2023,214,21,0.0,0.0,0.1443,37.24584,37.59000000000003,5.124186761775762,,,,,0.5868986283848362
2023,214,22,0.0,0.0,0.237,35.65984,36.10000000000002,4.535046329576547,,,,,0.630134465367869
2023,214,23,0.0,0.0,0.4395,35.3301,34.68000000000001,4.3722606594794255,,,,,0.5676731258195822
2023,215,0,0.0,6.32,1.604333,34.74137,33.379999999999995,4.14601633807022,,,,,0.4491133239815718
2023,215,1,0.0,0.0,1.452333,33.84055,32.24000000000001,3.798558774259612,,,,,0.4686949967729532
2023,215,2,0.0,0.0,2.047,33.1921,31.15000000000003,3.5929184670242775,,,,,0.5050110009802855
2023,215,3,0.0,0.0,1.543,32.85995,30.140000000000043,3.5087276639160594,,,,,0.48171568378038115
2023,215,4,0.0,0.0,0.8252,32.3311,29.24000000000001,3.383662394078902,,,,,0.6703315929034256
2023,215,5,0.0,0.0,1.639,30.98005,28.40000000000003,2.98864473745905,,,,,0.7450335562912582
2023,215,6,6.564551422319474,6.32,1.247,30.57107,27.710000000000036,2.8673595974746733,,,,,1.3561526462754845
2023,215,7,68.38074398249452,0.0,0.04046667,32.3606,28.0,3.2057524670317328,,,,,2.2504166280935616
2023,215,8,130.1969365426696,0.0,0.4906333,32.94712,29.480000000000015,3.4767430349316126,,,,,2.2399243538814226
2023,215,9,212.253829321663,0.0,0.53,34.94655,31.210000000000036,4.19367873617351,,,,,3.0113659691243106
2023,215,10,326.0393873085339,0.0,0.6860666,36.36091,33.19,4.707019668153797,,,,,3.708244193685201
2023,215,11,375.2735229759299,0.0,1.215,38.29921,35.31,5.396326270272337,,,,,3.9050782464774136
2023,215,12,400.9846827133479,6.32,1.335,39.022,37.360000000000014,5.749024717480844,,,,,3.8973092569674823
2023,215,13,396.0612691466083,0.0,2.156333,40.33106,39.19,6.262687189913998,,,,,3.690861838529192
2023,215,14,285.0109409190372,0.0,2.268333,40.37727,40.77000000000004,6.272505695512949,,,,,3.4474596122040033
2023,215,15,315.6455142231947,0.0,2.972333,41.11134,41.900000000000034,6.671764409766577,,,,,3.3823233303620075
2023,215,16,247.81181619256017,0.0,2.303,41.62411,42.5,7.098976965096845,,,,,3.045306954059714
2023,215,17,166.84901531728664,0.0,3.052333,41.2696,42.55000000000001,6.974763304728484,,,,,3.282410614844589
2023,215,18,85.88621444201313,6.32,2.193667,41.03686,42.110000000000014,6.971029428092327,,,,,3.534257740711303
2023,215,19,14.22319474835886,0.0,2.801666,39.88258,41.21000000000003,6.584452414678675,,,,,3.401272229295643
2023,215,20,0.0,0.0,2.020333,38.53931,39.19,6.081873415817177,,,,,1.5850455654158448
2023,215,21,0.0,0.0,0.7315666,37.42692,37.170000000000016,5.705177947368211,,,,,0.664887208479753
2023,215,22,0.0,0.0,1.815,36.65768,35.39000000000004,5.420572716852598,,,,,0.791280607622858
2023,215,23,0.0,0.0,0.6170666,35.37902,33.68000000000001,4.890492568484892,,,,,0.6226310660772126
2023,216,0,0.0,6.32,1.209667,34.15916,32.08000000000004,4.534546128621637,,,,,0.713882187603652
2023,216,1,0.0,0.0,0.0,32.634,30.670000000000016,3.978313139948881,,,,,0.7824072539995455
2023,216,2,0.0,0.0,0.7009667,30.38805,29.32000000000005,3.4538665231470125,,,,,0.7921244290584107
2023,216,3,0.0,0.0,0.0,28.51944,28.06,2.8952197109229414,,,,,0.4061540484977482
2023,216,4,0.0,0.0,0.0,26.68282,26.94,2.434030786573129,,,,,0.6053304882458832
2023,216,5,0.0,0.0,0.0,25.75682,25.879999999999995,2.2120841612791335,,,,,0.5012096478631571
2023,216,6,6.564551422319474,6.32,0.0,26.80524,24.970000000000027,2.439512380003035,,,,,0.7381903548543564
2023,216,7,82.60393873085339,0.0,0.7615333,29.2985,25.090000000000032,3.0384786600186096,,,,,3.325045112475918
2023,216,8,172.3194748358862,0.0,1.236967,32.46232,26.69,3.9125995653001944,,,,,3.222217576625004
2023,216,9,258.20568927789935,0.0,1.681667,34.57076,28.730000000000015,4.585338388372315,,,,,3.472657483829926
2023,216,10,329.8687089715536,0.0,1.2903,36.82166,31.03000000000003,5.290811955377067,,,,,3.996277782025556
2023,216,11,379.6498905908096,0.0,1.740333,38.13946,33.49000000000001,5.8156152594982204,,,,,4.578474090786141
2023,216,12,402.07877461706784,6.32,1.4961,39.42632,35.870000000000005,6.413602011911289,,,,,4.6135654445462375
2023,216,13,399.34354485776805,0.0,1.457667,41.03454,38.03000000000003,7.060300753452823,,,,,4.442305457504895
2023,216,14,371.44420131291025,0.0,1.498767,41.19265,39.920000000000016,7.125101482023489,,,,,4.210821706560901
