"TIMESTAMP","RECORD","DateTime(1)","DateTime(9)","DateTime(4)","DateTime(5)","Target","BattVolt_Avg","Pnl_Tmp_Avg","WindSpeed_Avg","AirT_Avg","AirRH_Avg","mV_tpile_Avg(1)","mV_tpile_Avg(2)","TbodyC_Avg(1)","TbodyC_Avg(2)","TtarRC_Avg","TtarHC_Avg","TadjH_Avg","T_Diffrns_Avg","PID_out_Avg","PID_lmt_Avg","ScldOut_Avg","TrelayBox_Avg"
"2023-09-09 21:40:00",14838,2023,252,21,40,3,12.94181,33.971,0.5642,36.3684,15.20329,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.43997
"2023-09-09 21:45:00",14839,2023,252,21,45,3,12.94111,33.86963,0.7593333,36.40928,15.12838,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.42437
"2023-09-09 21:50:00",14840,2023,252,21,50,3,12.93874,33.78611,0.5918,36.42297,15.19625,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.46424
"2023-09-09 21:55:00",14841,2023,252,21,55,3,12.93876,33.71201,0.5731333,36.29878,15.38784,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.42228
"2023-09-09 22:00:00",14842,2023,252,22,0,3,12.93785,33.66291,0.3121333,36.2785,15.41871,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.45903
"2023-09-09 22:05:00",14843,2023,252,22,5,3,12.93712,33.59122,0.1091667,36.11359,15.56943,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",33.21014
"2023-09-09 22:10:00",14844,2023,252,22,10,3,12.93675,33.501,0,35.89669,15.84023,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",32.97482
"2023-09-09 22:15:00",14845,2023,252,22,15,3,12.93455,33.36929,0,35.59394,16.1385,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",32.63333
"2023-09-09 22:20:00",14846,2023,252,22,20,3,12.93345,33.19185,0,35.26406,16.52916,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",32.25659
"2023-09-09 22:25:00",14847,2023,252,22,25,3,12.93271,32.98355,0,35.09008,17.33384,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",31.89714
"2023-09-09 22:30:00",14848,2023,252,22,30,3,12.93271,32.74257,0,34.7263,18.09359,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",31.54246
"2023-09-09 22:35:00",14849,2023,252,22,35,3,12.93197,32.45979,0,34.42579,18.82814,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",31.16733
"2023-09-09 22:40:00",14850,2023,252,22,40,3,12.93161,32.20178,0,34.33767,19.11596,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.90862
"2023-09-09 22:45:00",14851,2023,252,22,45,3,12.92995,31.94091,0,34.26762,18.66243,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",30.64705
