population,elevation,genotype,Replicate #,am.pm,date,treatment,rh (%),Tair (oC),Tleaf (oC),vpd (kPa),gsw.(mol m-2 s-1),gsw.(mmol m-2 s-1),E.(mmol m-2 s-1),E (mol m-2 s-1),E (g m-2 s-1),E (kg m-2 s-1),E (kg m-2 hr-1),Total leaf area (m2),Al:Ab (m2 cm-2),Al:Ab (m2 m-2),Ypd (MPa),Ymd (MPa),Delta Y (MPa),K (Kg hr-1 MPa-1 m-2) ,K (Kg hr-1 MPa-1 m-2) per BA,K (mmol s-1 MPa-1 m-2) per LA,K (mmol s-1 MPa-1 m-2) per BA
TSZ-SAN,1212,3,29,pm,8/17/23,predrought,15.65,46.58,42.59,6.84,0.08,80,5.35,0.005,0.096,0.000096,0.347,8.68,2.32,23200,-0.56,-1.69,1.13,0.307,7117.678,4.730497607,109747.5445
TSZ-SAN,1212,3,30,pm,8/17/23,predrought,13.85,46.56,42.62,7.03,0.08,80,5.52,0.006,0.099,0.000099,0.358,7.00,2.43,24300,-0.51,-2.15,1.64,0.218,5300.008,3.362998846,81720.87196
TSZ-SAN,1212,3,31,pm,8/16/23,predrought,17.98,45.59,41.35,6.15,0.1,100,6.07,0.006,0.109,0.000109,0.393,6.14,1.8,18000,-0.52,-1.94,1.42,0.277,4985.949,4.271022264,76878.40075
TSZ-SAN,1212,4,32,pm,8/17/23,predrought,15.49,46.67,43.55,7.28,0.07,70,4.92,0.005,0.089,0.000089,0.319,6.68,1.44,14400,-0.49,-1.91,1.42,0.225,3233.064,3.461850006,49850.64009
TSZ-SAN,1212,4,33,pm,8/16/23,predrought,16.85,46.13,41.77,6.39,0.13,130,7.69,0.008,0.138,0.000138,0.498,14.08,4.13,41300,-0.59,-1.76,1.17,0.426,17589.988,6.567074856,271220.1915
TSZ-SAN,1212,4,34,pm,8/17/23,predrought,13.81,46.52,40.74,6.24,0.13,130,7.39,0.007,0.133,0.000133,0.479,4.71,1.38,13800,-1.02,-2.46,1.44,0.333,4589.190,5.127591689,70760.76531
TSZ-SAN,1212,7,36,pm,8/17/23,predrought,13.68,46.68,43.16,7.28,0.08,80,5.57,0.006,0.100,0.000100,0.361,6.11,0.97,9700,-0.52,-1.86,1.34,0.269,2612.746,4.15319082,40285.95096
TSZ-SAN,1212,7,37,pm,8/17/23,predrought,13.76,46.69,42.75,7.09,0.1,100,7.01,0.007,0.126,0.000126,0.454,3.68,0.9,9000,-0.62,-2.46,1.84,0.247,2221.865,3.80655127,34258.96143
TSZ-SAN,1212,7,83,pm,8/17/23,predrought,15.11,46.71,43.39,7.24,0.08,80,5.21,0.005,0.094,0.000094,0.338,7.91,2.14,21400,-0.34,-2.38,2.04,0.165,3541.574,2.551755412,54607.56581
TSZ-SAN,1212,8,38,pm,8/17/23,predrought,14.24,46.81,41.9,6.67,0.14,140,8.58,0.009,0.154,0.000154,0.556,13.38,3.28,32800,-0.57,-1.86,1.29,0.431,14136.647,6.645521481,217973.1046
TSZ-SAN,1212,8,39,pm,8/16/23,predrought,16.91,46.17,40.36,5.81,0.12,120,6.75,0.007,0.122,0.000122,0.437,3.71,1.36,13600,-0.27,-2.15,1.88,0.233,3164.170,3.587380245,48788.37133
TSZ-SAN,1212,8,40,pm,8/16/23,predrought,17.69,45.77,41.57,6.27,0.1,100,5.95,0.006,0.107,0.000107,0.386,4.62,1.66,16600,-0.48,-2.1,1.62,0.238,3950.800,3.669724318,60917.42368
TSZ-SAN,1212,10,21,pm,8/17/23,predrought,14.57,46.73,42.27,6.79,0.1,100,6.3,0.006,0.113,0.000113,0.408,4.78,1.38,13800,-0.41,-2.03,1.62,0.252,3477.600,3.885590454,53621.14827
TSZ-SAN,1212,10,41,pm,8/16/23,predrought,15.77,46.46,40.63,6,0.13,130,7.11,0.007,0.128,0.000128,0.461,15.53,3.35,33500,-0.51,-1.8,1.29,0.357,11964.642,5.506953116,184482.9294
TSZ-SAN,1212,10,42,pm,8/16/23,predrought,16.65,46.01,39.28,5.42,0.24,240,12.1,0.012,0.218,0.000218,0.784,14.52,3.06,30600,-0.78,-2.06,1.28,0.613,18744.413,9.445107153,289020.2789
CCR-COL,72,156,43,am,8/23/23,predrought,42,33.14,31.93,2.61,0.18,180,4.47,0.004,0.080,0.000080,0.290,18.53,3.87,38700,-0.22,-1.85,1.63,0.178,6877.109,2.740005328,106038.2062
CCR-COL,72,156,44,am,8/24/23,predrought,34.1,34.51,29.81,2.33,0.26,260,5.63,0.006,0.101,0.000101,0.365,5.08,1.59,15900,-0.27,-1.87,1.6,0.228,3625.439,3.515765506,55900.67154
CCR-COL,72,156,45,am,8/23/23,predrought,37.7,35.13,32.7,2.81,0.31,310,8.06,0.008,0.145,0.000145,0.522,13.38,3.64,36400,-0.48,-1.9,1.42,0.368,13388.228,5.671242084,206433.2118
CCR-COL,72,149,46,am,8/23/23,predrought,40.47,33.89,31.21,2.41,0.4,400,9.04,0.009,0.163,0.000163,0.586,10.99,2.05,20500,-0.3,-2.07,1.77,0.331,6784.597,5.103012742,104611.7612
CCR-COL,72,149,47,am,8/24/23,predrought,32.54,34.92,32.28,3.02,0.24,240,6.72,0.007,0.121,0.000121,0.435,10.98,2.51,25100,-0.32,-2.47,2.15,0.203,5083.696,3.122930374,78385.5524
CCR-COL,72,149,48,am,8/24/23,predrought,34.06,34.04,30.02,2.43,0.2,200,4.58,0.005,0.082,0.000082,0.297,17.25,2.85,28500,-0.57,-1.85,1.28,0.232,6608.081,3.575090146,101890.0692
CCR-COL,72,152,49,am,8/23/23,predrought,45.6,30.72,27.64,1.69,0.43,430,6.85,0.007,0.123,0.000123,0.444,16.68,2.78,27800,-0.44,-2.09,1.65,0.269,7478.705,4.147993966,115314.2322
CCR-COL,72,152,50,am,8/24/23,predrought,33.87,33.87,31.55,2.85,0.18,180,4.65,0.005,0.084,0.000084,0.301,29.47,3.96,39600,-0.36,-1.95,1.59,0.190,7504.574,2.922047808,115713.0932
CCR-COL,72,152,51,am,8/24/23,predrought,33.78,34.51,30.33,2.48,0.32,320,7.46,0.007,0.134,0.000134,0.483,11.56,1.91,19100,-0.28,-1.48,1.2,0.403,7694.244,6.211393883,118637.6232
CCR-COL,72,155,58,am,8/24/23,predrought,32.26,35.13,32.76,3.14,0.17,170,5.06,0.005,0.091,0.000091,0.328,25.14,4.53,45300,-0.45,-2.11,1.66,0.198,8947.787,3.045607389,137966.0147
CCR-COL,72,155,59,am,8/23/23,predrought,45.09,31.42,30.74,2.35,0.1,100,2.26,0.002,0.041,0.000041,0.146,16.94,3.17,31700,-0.2,-2.07,1.87,0.078,2482.568,1.20753109,38278.73555
CCR-COL,72,155,60,am,8/24/23,predrought,33.19,34.72,31.96,2.91,0.13,130,3.59,0.004,0.065,0.000065,0.233,22.24,4.22,42200,-0.31,-1.89,1.58,0.147,6213.336,2.27022473,95803.48361
CCR-COL,72,5,61,am,8/24/23,predrought,33.9,34.26,30.48,2.53,0.14,140,3.29,0.003,0.059,0.000059,0.213,5.59,1.83,18300,-0.36,-1.68,1.32,0.162,2955.616,2.490310246,45572.6775
CCR-COL,72,5,63,am,8/23/23,predrought,47.94,30.98,29.45,1.96,0.28,280,5.2,0.005,0.094,0.000094,0.337,13.53,2.78,27800,-0.36,-2.18,1.82,0.185,5146.971,2.854719517,79361.20259
CCR-COL,72,5,85,am,8/24/23,predrought,33.12,34.62,31.28,2.74,0.18,180,4.75,0.005,0.086,0.000086,0.308,8.26,2.33,23300,-0.36,-1.93,1.57,0.196,4567.987,3.022911591,70433.84007
JLA-JAK,1521,153,69,am,8/24/23,predrought,33.95,34.14,29.54,2.31,0.21,210,4.55,0.005,0.082,0.000082,0.295,1.89,0.42,4200,-0.35,-1.99,1.64,0.180,755.078,2.772037092,11642.55579
JLA-JAK,1521,153,76,am,8/24/23,predrought,33.99,33.87,30.27,2.52,0.17,170,3.93,0.004,0.071,0.000071,0.255,1.63,0.4,4000,-0.34,-1.83,1.49,0.171,683.662,2.635346776,10541.3871
JLA-JAK,1521,153,90,am,8/23/23,predrought,37.89,34.26,30.7,2.37,0.3,300,6.64,0.007,0.120,0.000120,0.430,3.81,0.53,5300,-0.38,-1.98,1.6,0.269,1425.276,4.146480099,21976.34453
JLA-JAK,1521,155,62,am,8/23/23,predrought,43.71,32.62,30.71,2.27,0.26,260,5.63,0.006,0.101,0.000101,0.365,1.17,0.44,4400,-0.41,-1.73,1.32,0.276,1216.080,4.261533946,18750.74936
JLA-JAK,1521,155,64,am,8/23/23,predrought,47.52,30.16,28.64,1.89,0.29,290,5.24,0.005,0.094,0.000094,0.340,1.37,0.45,4500,-0.84,-1.76,0.92,0.369,1660.852,5.690821299,25608.69585
JLA-JAK,1521,155,66,am,8/24/23,predrought,33.74,34.63,30.25,2.45,0.23,230,5.38,0.005,0.097,0.000097,0.349,3.21,0.68,6800,-0.62,-2.04,1.42,0.246,1669.467,3.785518909,25741.52858
JLA-JAK,1521,156,71,am,8/23/23,predrought,41.23,32.85,30.51,2.31,0.27,270,5.92,0.006,0.107,0.000107,0.384,3.35,0.65,6500,-0.46,-1.73,1.27,0.302,1963.389,4.657463654,30273.51375
JLA-JAK,1521,156,74,am,8/24/23,predrought,34.32,33.82,31.32,2.78,0.11,110,2.8,0.003,0.050,0.000050,0.181,2.92,0.64,6400,-0.63,-1.81,1.18,0.154,984.081,2.370868752,15173.56001
JLA-JAK,1521,156,75,am,8/24/23,predrought,33.07,34.65,30.78,2.61,0.19,190,4.63,0.005,0.083,0.000083,0.300,2.78,0.58,5800,-0.35,-1.48,1.13,0.266,1539.946,4.093869892,23744.44537
JLA-JAK,1521,157,67,am,8/24/23,predrought,33.5,34.53,31.67,2.83,0.2,200,5.43,0.005,0.098,0.000098,0.352,2.46,0.65,6500,-0.52,-1.61,1.09,0.323,2098.272,4.977426094,32353.26961
JLA-JAK,1521,157,68,am,8/24/23,predrought,32.88,34.77,31.95,2.92,0.21,210,5.63,0.006,0.101,0.000101,0.365,2.9,0.85,8500,-0.68,-1.79,1.11,0.329,2793.697,5.067770098,43076.04584
JLA-JAK,1521,157,72,am,8/23/23,predrought,42.92,31.79,29.41,2.09,0.31,310,6.11,0.006,0.110,0.000110,0.396,1.89,1.52,15200,-0.68,-1.48,0.8,0.495,7522.632,7.63102211,115991.5361
JLA-JAK,1521,158,70,am,8/24/23,predrought,33.48,34.51,29.92,2.39,0.29,290,6.57,0.007,0.118,0.000118,0.426,1.25,0.24,2400,-0.41,-1.93,1.52,0.280,672.215,4.318702323,10364.88557
JLA-JAK,1521,158,73,am,8/24/23,predrought,34.36,33.81,30.58,2.58,0.13,130,3.25,0.003,0.059,0.000059,0.211,1.75,0.39,3900,-0.46,-1.92,1.46,0.144,562.562,2.22413935,8674.143465
JLA-JAK,1521,158,81,am,8/24/23,predrought,33.54,34.5,31.59,2.81,0.19,190,5.11,0.005,0.092,0.000092,0.331,0.53,0.2,2000,-0.49,-1.71,1.22,0.271,542.833,4.184972014,8369.944028
NRV-NEW,666,101,1,am,8/23/23,predrought,38.6,35.37,31.35,2.37,0.52,520,11.64,0.012,0.210,0.000210,0.754,5.47,1.21,12100,-0.42,-1.79,1.37,0.551,6661.818,8.489144025,102718.6427
NRV-NEW,666,101,2,am,8/23/23,predrought,38.99,35.14,32.19,2.6,0.35,350,8.53,0.009,0.154,0.000154,0.553,6.42,1.41,14100,-0.49,-1.84,1.35,0.409,5773.104,6.313159348,89015.5468
NRV-NEW,666,101,3,am,8/23/23,predrought,38.04,34.43,30.97,2.41,0.47,470,10.74,0.011,0.193,0.000193,0.696,5.07,1.03,10300,-0.33,-1.7,1.37,0.508,5232.340,7.83276691,80677.49917
NRV-NEW,666,105,7,am,8/23/23,predrought,42.72,32.99,31.08,2.37,0.25,250,5.63,0.006,0.101,0.000101,0.365,3.34,0.91,9100,-0.29,-1.86,1.57,0.232,2114.585,3.582945738,32604.80622
NRV-NEW,666,105,8,am,8/23/23,predrought,43.56,32.15,30.24,2.22,0.27,270,5.69,0.006,0.102,0.000102,0.369,2.64,0.69,6900,-0.35,-1.96,1.61,0.229,1580.194,3.531163925,24365.03108
NRV-NEW,666,105,9,am,8/24/23,predrought,34.05,34.37,32.55,3.06,0.13,130,3.76,0.004,0.068,0.000068,0.244,5.01,1.09,10900,-0.38,-1.94,1.56,0.156,1702.412,2.408212106,26249.51195
NRV-NEW,666,118,10,am,8/24/23,predrought,33.41,34.59,30.99,2.66,0.18,180,4.57,0.005,0.082,0.000082,0.296,3.56,1.00,10000,-0.35,-1.79,1.44,0.206,2056.500,3.170919353,31709.19353
NRV-NEW,666,118,11,am,8/24/23,predrought,34.02,33.86,31.35,2.79,0.13,130,3.29,0.003,0.059,0.000059,0.213,3.32,0.91,9100,-0.37,-1.64,1.27,0.168,1527.596,2.588353956,23554.021
NRV-NEW,666,118,12,am,8/23/23,predrought,41.91,33.76,31.84,2.51,0.25,250,6.01,0.006,0.108,0.000108,0.389,1.61,0.5,5000,-0.32,-1.91,1.59,0.245,1224.679,3.776668242,18883.34121
NRV-NEW,666,122,16,am,8/24/23,predrought,33.75,33.96,30.34,2.54,0.16,160,3.93,0.004,0.071,0.000071,0.255,7.05,2.21,22100,-0.31,-1.54,1.23,0.207,4575.670,3.192411948,70552.30405
NRV-NEW,666,122,17,am,8/24/23,predrought,33.57,34.61,30.42,2.5,0.19,190,4.44,0.004,0.080,0.000080,0.288,4.82,1.19,11900,-0.34,-1.66,1.32,0.218,2593.767,3.360783432,39993.32284
NRV-NEW,666,122,18,am,8/23/23,predrought,38.25,34.99,32.69,2.8,0.21,210,5.61,0.006,0.101,0.000101,0.364,7.37,1.96,19600,-0.25,-2.12,1.87,0.194,3810.240,2.997455493,58750.12767
NRV-NEW,666,123,19,am,8/23/23,predrought,49.06,29.67,27.44,1.62,0.38,380,5.85,0.006,0.105,0.000105,0.379,6.06,1.55,15500,-0.38,-2.26,1.88,0.202,3125.394,3.109062879,48190.47462
NRV-NEW,666,123,20,am,8/23/23,predrought,46.16,30.44,28.1,1.79,0.37,370,6.31,0.006,0.114,0.000114,0.409,5.82,2.02,20200,-0.71,-2.24,1.53,0.267,5398.391,4.120685003,83237.83706
NRV-NEW,666,123,22,am,8/23/23,predrought,39.51,35.18,31.78,2.45,0.41,410,9.36,0.009,0.168,0.000168,0.607,4.78,1.58,15800,-0.34,-2.31,1.97,0.308,4864.539,4.747239157,75006.37868
TSZ-SAN,1212,3,29,am,8/23/23,predrought,39.39,33.95,32.43,2.79,0.14,140,3.6,0.004,0.065,0.000065,0.233,8.68,2.32,23200,-0.43,-1.62,1.19,0.196,4547.980,3.022644195,70125.34532
TSZ-SAN,1212,3,30,am,8/23/23,predrought,37.82,35.36,33.59,3.03,0.29,290,8.11,0.008,0.146,0.000146,0.526,7.00,2.43,24300,-0.44,-1.83,1.39,0.378,9187.288,5.829583705,141658.884
TSZ-SAN,1212,3,31,am,8/24/23,predrought,34.08,33.97,31.13,2.72,0.15,150,3.83,0.004,0.069,0.000069,0.248,6.14,1.8,18000,-0.41,-1.81,1.4,0.177,3190.937,2.733393938,49201.09088
TSZ-SAN,1212,4,32,am,8/23/23,predrought,38.81,34.08,32.13,2.72,0.2,200,5.18,0.005,0.093,0.000093,0.336,6.68,1.44,14400,-0.36,-1.68,1.32,0.254,3661.789,3.920914004,56461.16166
TSZ-SAN,1212,4,33,am,8/24/23,predrought,33.2,34.51,30.14,2.46,0.21,210,5,0.005,0.090,0.000090,0.324,14.08,4.13,41300,-0.51,-1.92,1.41,0.230,9490.213,3.5430916,146329.6831
TSZ-SAN,1212,4,34,am,8/23/23,predrought,37.26,35.31,31.82,2.58,0.36,360,8.65,0.009,0.156,0.000156,0.561,4.71,1.38,13800,-0.55,-2,1.45,0.387,5334.604,5.960457475,82254.31316
TSZ-SAN,1212,7,36,am,8/23/23,predrought,35.27,35.54,33.28,3.08,0.24,240,7.06,0.007,0.127,0.000127,0.457,6.11,0.97,9700,-0.49,-1.95,1.46,0.313,3039.475,4.831515019,46865.69568
TSZ-SAN,1212,7,37,am,8/23/23,predrought,36.55,35.44,31.73,2.58,0.35,350,8.51,0.009,0.153,0.000153,0.551,3.68,0.9,9000,-0.37,-2.04,1.67,0.330,2971.875,5.091486277,45823.37649
TSZ-SAN,1212,7,83,am,8/23/23,predrought,42.3,33.4,31.09,2.34,0.26,260,5.81,0.006,0.105,0.000105,0.376,7.91,2.14,21400,-0.37,-1.77,1.4,0.269,5754.888,4.146480099,88734.67412
TSZ-SAN,1212,8,38,am,8/23/23,predrought,44.6,32.38,30.8,2.28,0.23,230,4.98,0.005,0.090,0.000090,0.323,13.38,3.28,32800,-0.31,-1.83,1.52,0.212,6963.613,3.27353692,107372.011
TSZ-SAN,1212,8,39,am,8/24/23,predrought,33.66,34.48,30.89,2.63,0.27,270,6.72,0.007,0.121,0.000121,0.435,3.71,1.36,13600,-0.31,-1.65,1.34,0.325,4419.553,5.010671869,68145.13742
TSZ-SAN,1212,8,40,am,8/24/23,predrought,34.25,34.13,32.27,2.99,0.15,150,4.3,0.004,0.077,0.000077,0.279,4.62,1.66,16600,-0.33,-1.88,1.55,0.180,2984.145,2.771840564,46012.55336
TSZ-SAN,1212,10,21,am,8/23/23,predrought,37.59,35.36,32.33,2.69,0.36,360,9,0.009,0.162,0.000162,0.583,4.78,1.38,13800,-0.34,-2.26,1.92,0.304,4191.750,4.683524208,64632.63408
TSZ-SAN,1212,10,41,am,8/24/23,predrought,33.58,34.6,30.68,2.56,0.23,230,5.6,0.006,0.101,0.000101,0.363,15.53,3.35,33500,-0.29,-1.95,1.66,0.219,7323.181,3.370632683,112916.1949
TSZ-SAN,1212,10,42,am,8/24/23,predrought,33.45,34.39,30.05,2.44,0.24,240,5.59,0.006,0.101,0.000101,0.362,14.52,3.06,30600,-0.42,-1.72,1.3,0.279,8526.384,4.296352874,131468.3979
CCR-COL,72,156,43,pm,8/23/23,predrought,19.13,41.4,39.56,5.69,0.07,70,3.72,0.004,0.067,0.000067,0.241,18.53,3.87,38700,-0.22,-1.85,1.63,0.148,5723.231,2.280272891,88246.56087
CCR-COL,72,156,44,pm,8/24/23,predrought,20.63,42.19,39.12,5.33,0.12,120,5.85,0.006,0.105,0.000105,0.379,5.08,1.59,15900,-0.27,-1.87,1.6,0.237,3767.108,3.653148883,58085.06723
CCR-COL,72,156,45,pm,8/23/23,predrought,19,40.93,36.84,4.75,0.12,120,5.26,0.005,0.095,0.000095,0.341,13.38,3.64,36400,-0.48,-1.9,1.42,0.240,8737.230,3.701083543,134719.441
CCR-COL,72,149,46,pm,8/23/23,predrought,17,41.98,38,5.23,0.11,110,5.17,0.005,0.093,0.000093,0.335,10.99,2.05,20500,-0.3,-2.07,1.77,0.189,3880.129,2.918426535,59827.74397
CCR-COL,72,149,47,pm,8/24/23,predrought,18.89,42.87,38.55,5.21,0.13,130,6.58,0.007,0.118,0.000118,0.426,10.98,2.51,25100,-0.32,-2.47,2.15,0.198,4977.785,3.057869325,76752.52006
CCR-COL,72,149,48,pm,8/24/23,predrought,19.32,42.72,38.14,5.03,0.12,120,5.83,0.006,0.105,0.000105,0.378,17.25,2.85,28500,-0.57,-1.85,1.28,0.295,8411.597,4.550824356,129698.4941
CCR-COL,72,152,49,pm,8/23/23,predrought,17.86,41.28,36.32,4.65,0.15,150,6.53,0.007,0.118,0.000118,0.423,16.68,2.78,27800,-0.44,-2.09,1.65,0.256,7129.335,3.954219065,109927.29
CCR-COL,72,152,50,pm,8/24/23,predrought,19.87,42.92,38.04,4.96,0.17,170,7.74,0.008,0.139,0.000139,0.502,29.47,3.96,39600,-0.36,-1.95,1.59,0.315,12491.484,4.863795706,192606.31
CCR-COL,72,152,51,pm,8/24/23,predrought,21.22,42.12,35.81,4.13,0.37,370,14.39,0.014,0.259,0.000259,0.932,11.56,1.91,19100,-0.28,-1.48,1.2,0.777,14841.846,11.98149571,228846.568
CCR-COL,72,155,58,pm,8/24/23,predrought,18.68,42.85,39.32,5.51,0.09,90,4.73,0.005,0.085,0.000085,0.307,25.14,4.53,45300,-0.45,-2.11,1.66,0.185,8364.236,2.84698082,128968.2311
CCR-COL,72,155,59,pm,8/23/23,predrought,17.86,41.08,39,5.6,0.05,50,2.68,0.003,0.048,0.000048,0.174,16.94,3.17,31700,-0.2,-2.07,1.87,0.093,2943.930,1.431939523,45392.48287
CCR-COL,72,155,60,pm,8/24/23,predrought,19.06,42.91,39.75,5.64,0.05,50,2.93,0.003,0.053,0.000053,0.190,22.24,4.22,42200,-0.31,-1.89,1.58,0.120,5071.051,1.85285751,78190.5869
CCR-COL,72,5,61,pm,8/24/23,predrought,20.59,42.72,39.71,5.51,0.08,80,4.3,0.004,0.077,0.000077,0.279,5.59,1.83,18300,-0.36,-1.68,1.32,0.211,3862.964,3.254812783,59563.07393
CCR-COL,72,5,63,pm,8/23/23,predrought,17.93,41.13,37.64,5.1,0.09,90,4.15,0.004,0.075,0.000075,0.269,13.53,2.78,27800,-0.36,-2.18,1.82,0.148,4107.679,2.278285769,63336.34437
CCR-COL,72,5,85,pm,8/24/23,predrought,19.2,42.93,39.44,5.51,0.08,80,4.41,0.004,0.079,0.000079,0.286,8.26,2.33,23300,-0.36,-1.93,1.57,0.182,4241.016,2.806534761,65392.25994
JLA-JAK,1521,153,69,pm,8/24/23,predrought,19.38,42.78,38.23,5.07,0.15,150,7.31,0.007,0.132,0.000132,0.474,1.89,0.42,4200,-0.35,-1.99,1.64,0.289,1213.103,4.453536516,18704.85337
JLA-JAK,1521,153,76,pm,8/24/23,predrought,19.74,42.67,40.37,5.88,0.07,70,3.87,0.004,0.070,0.000070,0.251,1.63,0.4,4000,-0.34,-1.83,1.49,0.168,673.224,2.595112474,10380.4499
JLA-JAK,1521,153,90,pm,8/23/23,predrought,16.97,41.83,38.73,5.51,0.06,60,3.15,0.003,0.057,0.000057,0.204,3.81,0.53,5300,-0.38,-1.98,1.6,0.128,676.148,1.967080168,10425.52489
JLA-JAK,1521,155,62,pm,8/23/23,predrought,17.86,40.95,37.86,5.19,0.11,110,5.58,0.006,0.100,0.000100,0.362,1.17,0.44,4400,-0.41,-1.73,1.32,0.274,1205.280,4.223687286,18584.22406
JLA-JAK,1521,155,64,pm,8/23/23,predrought,18.71,41.56,36.69,4.68,0.14,140,6.27,0.006,0.113,0.000113,0.406,1.37,0.45,4500,-0.84,-1.76,0.92,0.442,1987.317,6.809436936,30642.46621
JLA-JAK,1521,155,66,pm,8/24/23,predrought,20.78,42.31,38.35,5.02,0.1,100,4.87,0.005,0.088,0.000088,0.316,3.21,0.68,6800,-0.62,-2.04,1.42,0.222,1511.209,3.426668604,23301.34651
JLA-JAK,1521,156,71,pm,8/23/23,predrought,17.86,41,37.13,4.93,0.16,160,7.21,0.007,0.130,0.000130,0.467,3.35,0.65,6500,-0.46,-1.73,1.27,0.368,2391.222,5.672350159,36870.27604
JLA-JAK,1521,156,74,pm,8/24/23,predrought,19.81,42.76,40.24,5.79,0.09,90,4.81,0.005,0.087,0.000087,0.312,2.92,0.64,6400,-0.63,-1.81,1.18,0.264,1690.511,4.07281382,26066.00845
JLA-JAK,1521,156,75,pm,8/24/23,predrought,20.19,42.33,37.97,4.94,0.11,110,5.25,0.005,0.095,0.000095,0.340,2.78,0.58,5800,-0.35,-1.48,1.13,0.301,1746.159,4.642077091,26924.04713
JLA-JAK,1521,157,67,pm,8/24/23,predrought,19.03,42.93,39.82,5.68,0.09,90,4.57,0.005,0.082,0.000082,0.296,2.46,0.65,6500,-0.52,-1.61,1.09,0.272,1765.949,4.189104466,27229.17903
JLA-JAK,1521,157,68,pm,8/24/23,predrought,19.01,42.9,39.96,5.73,0.09,90,4.94,0.005,0.089,0.000089,0.320,2.9,0.85,8500,-0.68,-1.79,1.11,0.288,2451.308,4.446675717,37796.74359
JLA-JAK,1521,157,72,pm,8/23/23,predrought,17.67,41.02,37.76,5.16,0.08,80,3.92,0.004,0.071,0.000071,0.254,1.89,1.52,15200,-0.68,-1.48,0.8,0.318,4826.304,4.895843972,74416.82838
JLA-JAK,1521,158,70,pm,8/24/23,predrought,21.37,42.03,38.67,5.12,0.09,90,4.57,0.005,0.082,0.000082,0.296,1.25,0.24,2400,-0.41,-1.93,1.52,0.195,467.583,3.004028861,7209.669266
JLA-JAK,1521,158,73,pm,8/24/23,predrought,19.97,42.73,39.42,5.46,0.07,70,3.69,0.004,0.066,0.000066,0.239,1.75,0.39,3900,-0.46,-1.92,1.46,0.164,638.724,2.525253601,9848.489042
JLA-JAK,1521,158,81,pm,8/24/23,predrought,21.96,41.71,38.99,5.22,0.13,130,6.24,0.006,0.112,0.000112,0.404,0.53,0.2,2000,-0.49,-1.71,1.22,0.331,662.872,5.110415923,10220.83185
NRV-NEW,666,101,1,pm,8/23/23,predrought,18.82,40.55,36.22,4.59,0.14,140,5.77,0.006,0.104,0.000104,0.374,5.47,1.21,12100,-0.42,-1.79,1.37,0.273,3302.293,4.208106617,50918.09007
NRV-NEW,666,101,2,pm,8/23/23,predrought,18.32,41.1,37.61,5.06,0.1,100,4.53,0.005,0.082,0.000082,0.294,6.42,1.41,14100,-0.49,-1.84,1.35,0.217,3065.904,3.352709478,47273.20364
NRV-NEW,666,101,3,pm,8/23/23,predrought,17.49,41.66,36.67,4.79,0.19,190,7.89,0.008,0.142,0.000142,0.511,5.07,1.03,10300,-0.33,-1.7,1.37,0.373,3843.870,5.754239378,59268.66559
NRV-NEW,666,105,7,pm,8/23/23,predrought,18.48,41.16,36.99,4.83,0.16,160,7.37,0.007,0.133,0.000133,0.478,3.34,0.91,9100,-0.29,-1.86,1.57,0.304,2768.116,4.690285984,42681.60246
NRV-NEW,666,105,8,pm,8/23/23,predrought,17.42,40.95,38.59,5.49,0.08,80,4.21,0.004,0.076,0.000076,0.273,2.64,0.69,6900,-0.35,-1.96,1.61,0.169,1169.177,2.61268895,18027.55375
NRV-NEW,666,105,9,pm,8/24/23,predrought,19.49,42.9,39.92,5.67,0.08,80,4.24,0.004,0.076,0.000076,0.275,5.01,1.09,10900,-0.38,-1.94,1.56,0.176,1919.742,2.715643438,29600.51348
NRV-NEW,666,118,10,pm,8/24/23,predrought,21.37,41.91,37.9,4.85,0.16,160,7.49,0.007,0.135,0.000135,0.485,3.56,1.00,10000,-0.35,-1.79,1.44,0.337,3370.500,5.196977233,51969.77233
NRV-NEW,666,118,11,pm,8/24/23,predrought,20.14,42.82,41.36,6.21,0.03,30,2,0.002,0.036,0.000036,0.130,3.32,0.91,9100,-0.37,-1.64,1.27,0.102,928.630,1.573467451,14318.5538
NRV-NEW,666,118,12,pm,8/23/23,predrought,17.31,41.88,39.09,5.62,0.09,90,4.65,0.005,0.084,0.000084,0.301,1.61,0.5,5000,-0.32,-1.91,1.59,0.190,947.547,2.922047808,14610.23904
NRV-NEW,666,122,16,pm,8/24/23,predrought,19.32,42.67,40.75,6.05,0.06,60,3.07,0.003,0.055,0.000055,0.199,7.05,2.21,22100,-0.31,-1.54,1.23,0.162,3574.379,2.493817985,55113.37747
NRV-NEW,666,122,17,pm,8/24/23,predrought,20.75,42.47,40.92,6,0.07,70,4.05,0.004,0.073,0.000073,0.262,4.82,1.19,11900,-0.34,-1.66,1.32,0.199,2365.936,3.065579482,36480.39583
NRV-NEW,666,122,18,pm,8/23/23,predrought,18.03,41.33,37.13,4.89,0.11,110,5.01,0.005,0.090,0.000090,0.325,7.37,1.96,19600,-0.25,-2.12,1.87,0.174,3402.728,2.676872018,52466.69156
NRV-NEW,666,123,19,pm,8/23/23,predrought,19.8,41.64,36.4,4.48,0.19,190,8.05,0.008,0.145,0.000145,0.522,6.06,1.55,15500,-0.38,-2.26,1.88,0.277,4300.755,4.278283107,66313.38815
