year,julian-day,standard-time,solar,rain,wind,T-air,T-soil,D-MD,GW,E-MD,P-PD,P-MD,K-plant,leaftemp
2023,226,0,0.0,3.16,0.0,30.6845,31.760000000000048,3.074939048825186,,,,,,27.380000000000003
2023,226,1,0.0,0.0,0.0,30.811,30.54000000000002,3.0371931837746384,,,,,,26.50277777777778
2023,226,2,0.0,0.0,0.0,31.0775,29.390000000000043,2.995644739703886,,,,,,26.442777777777778
2023,226,3,0.0,0.0,0.505,31.1285,28.340000000000032,3.074540751115121,,,,,,26.799444444444443
2023,226,4,0.0,0.0,1.51,30.2175,27.40000000000003,2.892853211773213,,,,,,28.04611111111111
2023,226,5,0.5470459518599562,0.0,1.01,30.0665,26.629999999999995,2.8721723246505406,,,,,,27.537777777777777
2023,226,6,24.070021881838073,3.16,0.0,30.9815,26.010000000000048,2.9815515734128297,,,,,,26.813888888888886
2023,226,7,55.52516411378556,0.0,0.25,31.8435,26.03000000000003,3.208989847983024,,,,,,25.790555555555557
2023,226,8,106.40043763676148,0.0,0.25,33.6135,27.100000000000023,3.6908117719587623,,,,,,26.394444444444446
2023,226,9,148.7964989059081,0.0,0.5,34.388,28.470000000000027,3.8943838569121194,,,,,,27.387222222222224
2023,226,10,314.8249452954048,0.0,1.76,36.743,29.930000000000007,4.607217767725971,,,,,,29.605555555555554
2023,226,11,248.9059080962801,0.0,2.01,37.124,31.340000000000032,4.703945970630406,,,,,,32.20166666666667
2023,226,12,209.24507658643324,3.16,2.01,37.4805,32.650000000000034,4.924966582219116,,,,,,32.22777777777778
2023,226,13,199.945295404814,0.0,2.01,38.4065,33.84000000000003,5.242519357077229,,,,,,32.349444444444444
2023,226,14,246.44420131291028,0.0,2.265,39.248,34.89000000000004,5.616436878457801,,,,,,32.65833333333333
2023,226,15,151.2582056892779,0.0,1.26,38.784,35.73000000000002,5.457445317493301,,,,,,34.142222222222216
2023,226,16,141.1378555798687,0.0,1.26,39.517,36.30000000000001,5.672772738300275,,,,,,33.91888888888889
2023,226,17,65.91903719912472,0.0,1.76,39.1495,36.700000000000045,5.537462469149167,,,,,,33.05
2023,226,18,20.514223194748357,3.16,1.51,38.104,36.80000000000001,5.184235243910059,,,,,,32.98555555555556
2023,226,19,0.2735229759299781,0.0,1.26,36.4305,36.22000000000003,4.635703258822014,,,,,,33.195
2023,226,20,0.0,0.0,1.01,35.609,34.910000000000025,4.349802613933936,,,,,,33.004444444444445
2023,226,21,0.0,0.0,0.25,34.903,33.58000000000004,4.133143826980498,,,,,,32.425
2023,226,22,0.0,0.0,0.0,34.1495,32.420000000000016,3.910162260399114,,,,,,30.176666666666662
2023,226,23,0.0,0.0,2.015,34.651,31.379999999999995,3.890947379496597,,,,,,30.557222222222222
2023,227,0,0.0,3.16,2.265,34.466,30.450000000000045,3.755607308268182,,,,,,32.74777777777778
2023,227,1,0.0,0.0,1.005,34.2555,29.640000000000043,3.6957293275653536,,,,,,32.150000000000006
2023,227,2,0.0,0.0,2.52,32.7555,28.879999999999995,3.284139059040176,,,,,,32.18055555555556
2023,227,3,0.0,0.0,1.76,31.7655,28.19,2.849772687574492,,,,,,30.726111111111113
2023,227,4,0.0,0.0,1.26,31.5605,27.57000000000005,2.7889966221785394,,,,,,29.515
2023,227,5,1.3676148796498906,0.0,0.755,31.446,27.07000000000005,2.7824536259459816,,,,,,28.85166666666667
2023,227,6,31.45514223194748,3.16,0.25,32.2785,26.69,2.9771511861892463,,,,,,27.369444444444444
2023,227,7,125.82056892778992,0.0,1.765,34.984,27.120000000000005,3.693533709733556,,,,,,26.952777777777776
2023,227,8,210.6126914660831,0.0,2.265,35.9445,28.74000000000001,4.1107264715192535,,,,,,30.500555555555554
2023,227,9,293.21663019693653,0.0,3.02,37.7695,30.65000000000003,4.6393790819254646,,,,,,31.64833333333333
2023,227,10,394.1466083150984,0.0,3.52,39.1775,32.81,5.2172790677542835,,,,,,34.20166666666667
2023,227,11,335.06564551422315,0.0,2.52,39.9285,35.129999999999995,5.508393060499784,,,,,,35.34444444444445
2023,227,12,405.6345733041575,3.16,2.515,41.2255,37.34000000000003,6.082371669266189,,,,,,35.88333333333333
2023,227,13,283.3698030634573,0.0,1.76,41.1085,39.34000000000003,6.119244596059893,,,,,,36.79888888888889
2023,227,14,296.22538293216627,0.0,2.265,41.8985,41.06,6.457181509189747,,,,,,36.02111111111111
2023,227,15,198.03063457330416,0.0,1.76,42.3305,42.32000000000005,6.647102650523395,,,,,,37.85166666666667
2023,227,16,100.109409190372,0.0,1.26,41.0945,43.02000000000004,6.208606122933438,,,,,,37.93888888888889
2023,227,17,44.857768052516406,0.0,1.51,40.143,43.06,5.802353094704838,,,,,,35.17611111111111
2023,227,18,24.34354485776805,3.16,1.765,39.4905,42.610000000000014,5.485128168271424,,,,,,36.98222222222222
2023,227,19,0.0,0.0,1.26,38.532,41.55000000000001,5.185999135701252,,,,,,36.121111111111105
2023,227,20,0.0,0.51,3.02,33.6825,39.78000000000003,3.4462096041859223,,,,,,34.57722222222222
2023,227,21,0.0,0.0,1.005,34.917,38.10000000000002,3.5006329971306047,,,,,,30.40611111111111
2023,227,22,0.0,0.0,2.265,32.8845,36.60000000000002,3.218026329013465,,,,,,32.669444444444444
2023,227,23,0.0,0.25,2.52,33.222,35.19,3.098631732313518,,,,,,30.779999999999998
2023,228,0,0.0,3.16,2.77,32.706,33.910000000000025,2.99528251328768,,,,,,31.60055555555555
2023,228,1,0.0,0.0,2.515,32.576,32.77000000000004,3.05945300604038,,,,,,31.439444444444444
2023,228,2,0.0,0.0,2.015,31.5225,31.670000000000016,2.655647099053089,,,,,,30.785
2023,228,3,0.0,0.0,0.755,30.042,30.629999999999995,2.3021693911792727,,,0.5688888888888889,,,29.595000000000002
2023,228,4,0.0,0.0,0.5,29.64,29.720000000000027,2.033359938028053,,,0.5688888888888889,,,27.55333333333333
2023,228,5,0.8205689277899343,0.0,0.25,29.277,29.02000000000004,1.899634092121972,,,0.5688888888888889,,,27.615
2023,228,6,41.028446389496715,3.16,0.25,30.584,28.49000000000001,2.069680333403903,,,,,,26.44388888888889
2023,228,7,118.98249452954047,0.0,0.0,34.8115,28.78000000000003,3.0347721890700026,312.22222222222223,6.953333333333333,,,300.21183999999994,28.390555555555554
